5500: {'eps': 0.14573532540496414, 'gfn_loss': 2.187586545944214, 'ql_loss': 0.15628987550735474, 'states_visited': 88016, 'avg_traj_length': 10.625, 'avg_reward': 0.6349999904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00035910718725062907}
5600: {'eps': 0.13291982224058757, 'gfn_loss': 0.692823052406311, 'ql_loss': 0.16916020214557648, 'states_visited': 89616, 'avg_traj_length': 12.625, 'avg_reward': 0.8224999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00035456009209156036}
5700: {'eps': 0.12086794360570145, 'gfn_loss': 1.2073382139205933, 'ql_loss': 0.05634550005197525, 'states_visited': 91216, 'avg_traj_length': 11.875, 'avg_reward': 0.5099999904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003499264712445438}
5800: {'eps': 0.1102391992745224, 'gfn_loss': 1.2040985822677612, 'ql_loss': 0.303841233253479, 'states_visited': 92816, 'avg_traj_length': 10.25, 'avg_reward': 0.9474999904632568, 'max_traj_length': 22.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00034532914287410676}
5900: {'eps': 0.100243779268176, 'gfn_loss': 1.9930983781814575, 'ql_loss': 0.10147745162248611, 'states_visited': 94416, 'avg_traj_length': 14.375, 'avg_reward': 0.22874999046325684, 'max_traj_length': 23.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0003407644690014422}
6000: {'eps': 0.09106349223097913, 'gfn_loss': 0.3786918818950653, 'ql_loss': 0.1290465146303177, 'states_visited': 96016, 'avg_traj_length': 14.25, 'avg_reward': 0.44749999046325684, 'max_traj_length': 23.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003361383860465139}
6100: {'eps': 0.08288962874392225, 'gfn_loss': 0.9922912120819092, 'ql_loss': 0.2606581151485443, 'states_visited': 97616, 'avg_traj_length': 12.75, 'avg_reward': 0.9474999904632568, 'max_traj_length': 20.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00033166370121762156}
6200: {'eps': 0.07544945164059833, 'gfn_loss': 0.15135881304740906, 'ql_loss': 0.14778642356395721, 'states_visited': 99216, 'avg_traj_length': 12.9375, 'avg_reward': 0.6662499904632568, 'max_traj_length': 23.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00032721704337745905}
6300: {'eps': 0.06860842809036113, 'gfn_loss': 0.13622671365737915, 'ql_loss': 0.122334323823452, 'states_visited': 100816, 'avg_traj_length': 16.0, 'avg_reward': 0.5412499904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00032280368031933904}
6400: {'eps': 0.0625126448964628, 'gfn_loss': 0.14959555864334106, 'ql_loss': 0.15277057886123657, 'states_visited': 102416, 'avg_traj_length': 15.625, 'avg_reward': 0.6349999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003183891240041703}
