4200: {'eps': 0.2707245391743544, 'loss': 0.37912416458129883, 'states_visited': 67216, 'avg_traj_length': 7.75, 'avg_reward': 1.094749927520752, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004306027549318969}
4300: {'eps': 0.24494943707593364, 'loss': 0.33034953474998474, 'states_visited': 68816, 'avg_traj_length': 5.6875, 'avg_reward': 1.8134996891021729, 'max_traj_length': 14.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004284490132704377}
4400: {'eps': 0.2216283271062282, 'loss': 0.280292809009552, 'states_visited': 70416, 'avg_traj_length': 7.625, 'avg_reward': 1.7822496891021729, 'max_traj_length': 24.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00042643496999517083}
4500: {'eps': 0.20052756994366364, 'loss': 0.24020622670650482, 'states_visited': 72016, 'avg_traj_length': 7.25, 'avg_reward': 2.344749689102173, 'max_traj_length': 25.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004243349249009043}
4600: {'eps': 0.1814357705648218, 'loss': 0.1946716010570526, 'states_visited': 73616, 'avg_traj_length': 6.0, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004224101430736482}
4700: {'eps': 0.16416166041257546, 'loss': 0.27732571959495544, 'states_visited': 75216, 'avg_traj_length': 6.375, 'avg_reward': 1.9384996891021729, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00042089098133146763}
4800: {'eps': 0.14853218119844558, 'loss': 0.262004554271698, 'states_visited': 76816, 'avg_traj_length': 7.0, 'avg_reward': 1.9384996891021729, 'max_traj_length': 16.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004195463552605361}
4900: {'eps': 0.13439075114202403, 'loss': 0.16837207973003387, 'states_visited': 78416, 'avg_traj_length': 6.75, 'avg_reward': 2.250999689102173, 'max_traj_length': 26.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004182659031357616}
5000: {'eps': 0.12159569627801609, 'loss': 0.24636442959308624, 'states_visited': 80016, 'avg_traj_length': 7.0625, 'avg_reward': 2.094749689102173, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041717648855410516}
5100: {'eps': 0.11001883111517263, 'loss': 0.06392249464988708, 'states_visited': 81616, 'avg_traj_length': 5.4375, 'avg_reward': 2.375999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004161206306889653}
5200: {'eps': 0.09954417442763754, 'loss': 0.039922162890434265, 'states_visited': 83216, 'avg_traj_length': 5.625, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004151875909883529}
5300: {'eps': 0.09006678731304377, 'loss': 0.07722225040197372, 'states_visited': 84816, 'avg_traj_length': 5.1875, 'avg_reward': 2.250999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00041443933150731027}
5400: {'eps': 0.08149172187660261, 'loss': 0.048734866082668304, 'states_visited': 86416, 'avg_traj_length': 5.9375, 'avg_reward': 2.500999689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004139335942454636}
5500: {'eps': 0.07373307000872446, 'loss': 0.07717245817184448, 'states_visited': 88016, 'avg_traj_length': 6.25, 'avg_reward': 2.500999689102173, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004134517512284219}
5600: {'eps': 0.06671310272647929, 'loss': 0.062347911298274994, 'states_visited': 89616, 'avg_traj_length': 6.5625, 'avg_reward': 2.500999689102173, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004131070163566619}
5700: {'eps': 0.06036149145650866, 'loss': 0.1342156082391739, 'states_visited': 91216, 'avg_traj_length': 5.3125, 'avg_reward': 2.094749689102173, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004127528518438339}
